net.neoforged.api.distmarker.Dist net.minecraftforge.api.distmarker.Dist
net.neoforged.api.distmarker.OnlyIn net.minecraftforge.api.distmarker.OnlyIn
net.neoforged.api.distmarker.OnlyIns net.minecraftforge.api.distmarker.OnlyIns
net.neoforged.neoforgespi.Environment$Keys net.minecraftforge.forgespi.Environment$Keys
net.neoforged.neoforgespi.Environment net.minecraftforge.forgespi.Environment
net.neoforged.neoforgespi.coremod.ICoreModFile net.minecraftforge.forgespi.coremod.ICoreModFile
net.neoforged.neoforgespi.coremod.ICoreModProvider net.minecraftforge.forgespi.coremod.ICoreModProvider
net.neoforged.neoforgespi.language.IConfigurable net.minecraftforge.forgespi.language.IConfigurable
net.neoforged.neoforgespi.language.ILifecycleEvent net.minecraftforge.forgespi.language.ILifecycleEvent
net.neoforged.neoforgespi.language.IModFileInfo$LanguageSpec net.minecraftforge.forgespi.language.IModFileInfo$LanguageSpec
net.neoforged.neoforgespi.language.IModFileInfo net.minecraftforge.forgespi.language.IModFileInfo
net.neoforged.neoforgespi.language.IModInfo$DependencySide net.minecraftforge.forgespi.language.IModInfo$DependencySide
net.neoforged.neoforgespi.language.IModInfo$ModVersion net.minecraftforge.forgespi.language.IModInfo$ModVersion
net.neoforged.neoforgespi.language.IModInfo$Ordering net.minecraftforge.forgespi.language.IModInfo$Ordering
net.neoforged.neoforgespi.language.IModInfo net.minecraftforge.forgespi.language.IModInfo
net.neoforged.neoforgespi.language.IModLanguageProvider$IModLanguageLoader net.minecraftforge.forgespi.language.IModLanguageProvider$IModLanguageLoader
net.neoforged.neoforgespi.language.IModLanguageProvider net.minecraftforge.forgespi.language.IModLanguageProvider
net.neoforged.neoforgespi.language.MavenVersionAdapter net.minecraftforge.forgespi.language.MavenVersionAdapter
net.neoforged.neoforgespi.language.ModFileScanData$AnnotationData net.minecraftforge.forgespi.language.ModFileScanData$AnnotationData
net.neoforged.neoforgespi.language.ModFileScanData$ClassData net.minecraftforge.forgespi.language.ModFileScanData$ClassData
net.neoforged.neoforgespi.language.ModFileScanData net.minecraftforge.forgespi.language.ModFileScanData
net.neoforged.neoforgespi.locating.ForgeFeature$BooleanFeatureTest net.minecraftforge.forgespi.locating.ForgeFeature$BooleanFeatureTest
net.neoforged.neoforgespi.locating.ForgeFeature$Bound net.minecraftforge.forgespi.locating.ForgeFeature$Bound
net.neoforged.neoforgespi.locating.ForgeFeature$IFeatureTest net.minecraftforge.forgespi.locating.ForgeFeature$IFeatureTest
net.neoforged.neoforgespi.locating.ForgeFeature$MissingFeatureTest net.minecraftforge.forgespi.locating.ForgeFeature$MissingFeatureTest
net.neoforged.neoforgespi.locating.ForgeFeature$VersionFeatureTest net.minecraftforge.forgespi.locating.ForgeFeature$VersionFeatureTest
net.neoforged.neoforgespi.locating.ForgeFeature net.minecraftforge.forgespi.locating.ForgeFeature
net.neoforged.neoforgespi.locating.IDependencyLocator net.minecraftforge.forgespi.locating.IDependencyLocator
net.neoforged.neoforgespi.locating.IModDirectoryLocatorFactory net.minecraftforge.forgespi.locating.IModDirectoryLocatorFactory
net.neoforged.neoforgespi.locating.IModFile$Type net.minecraftforge.forgespi.locating.IModFile$Type
net.neoforged.neoforgespi.locating.IModFile net.minecraftforge.forgespi.locating.IModFile
net.neoforged.neoforgespi.locating.IModLocator$ModFileOrException net.minecraftforge.forgespi.locating.IModLocator$ModFileOrException
net.neoforged.neoforgespi.locating.IModLocator net.minecraftforge.forgespi.locating.IModLocator
net.neoforged.neoforgespi.locating.IModProvider net.minecraftforge.forgespi.locating.IModProvider
net.neoforged.neoforgespi.locating.ModFileFactory$ModFileInfoParser net.minecraftforge.forgespi.locating.ModFileFactory$ModFileInfoParser
net.neoforged.neoforgespi.locating.ModFileFactory net.minecraftforge.forgespi.locating.ModFileFactory
net.neoforged.neoforgespi.locating.ModFileLoadingException net.minecraftforge.forgespi.locating.ModFileLoadingException
net.neoforged.accesstransformer.AccessTransformer$FinalState net.minecraftforge.accesstransformer.AccessTransformer$FinalState
net.neoforged.accesstransformer.AccessTransformer$Modifier net.minecraftforge.accesstransformer.AccessTransformer$Modifier
net.neoforged.accesstransformer.AccessTransformer net.minecraftforge.accesstransformer.AccessTransformer
net.neoforged.accesstransformer.AccessTransformerEngine net.minecraftforge.accesstransformer.AccessTransformerEngine
net.neoforged.accesstransformer.ClassTarget net.minecraftforge.accesstransformer.ClassTarget
net.neoforged.accesstransformer.FieldTarget net.minecraftforge.accesstransformer.FieldTarget
net.neoforged.accesstransformer.INameHandler net.minecraftforge.accesstransformer.INameHandler
net.neoforged.accesstransformer.IdentityNameHandler net.minecraftforge.accesstransformer.IdentityNameHandler
net.neoforged.accesstransformer.InnerClassTarget net.minecraftforge.accesstransformer.InnerClassTarget
net.neoforged.accesstransformer.MethodTarget net.minecraftforge.accesstransformer.MethodTarget
net.neoforged.accesstransformer.Target net.minecraftforge.accesstransformer.Target
net.neoforged.accesstransformer.TargetType net.minecraftforge.accesstransformer.TargetType
net.neoforged.accesstransformer.TransformerProcessor$1 net.minecraftforge.accesstransformer.TransformerProcessor$1
net.neoforged.accesstransformer.TransformerProcessor net.minecraftforge.accesstransformer.TransformerProcessor
net.neoforged.accesstransformer.WildcardTarget net.minecraftforge.accesstransformer.WildcardTarget
net.neoforged.accesstransformer.generated.AtLexer net.minecraftforge.accesstransformer.generated.AtLexer
net.neoforged.accesstransformer.generated.AtParser$ArgumentContext net.minecraftforge.accesstransformer.generated.AtParser$ArgumentContext
net.neoforged.accesstransformer.generated.AtParser$Class_nameContext net.minecraftforge.accesstransformer.generated.AtParser$Class_nameContext
net.neoforged.accesstransformer.generated.AtParser$Class_valueContext net.minecraftforge.accesstransformer.generated.AtParser$Class_valueContext
net.neoforged.accesstransformer.generated.AtParser$EntryContext net.minecraftforge.accesstransformer.generated.AtParser$EntryContext
net.neoforged.accesstransformer.generated.AtParser$Field_nameContext net.minecraftforge.accesstransformer.generated.AtParser$Field_nameContext
net.neoforged.accesstransformer.generated.AtParser$FileContext net.minecraftforge.accesstransformer.generated.AtParser$FileContext
net.neoforged.accesstransformer.generated.AtParser$Func_nameContext net.minecraftforge.accesstransformer.generated.AtParser$Func_nameContext
net.neoforged.accesstransformer.generated.AtParser$FunctionContext net.minecraftforge.accesstransformer.generated.AtParser$FunctionContext
net.neoforged.accesstransformer.generated.AtParser$KeywordContext net.minecraftforge.accesstransformer.generated.AtParser$KeywordContext
net.neoforged.accesstransformer.generated.AtParser$LineContext net.minecraftforge.accesstransformer.generated.AtParser$LineContext
net.neoforged.accesstransformer.generated.AtParser$Line_valueContext net.minecraftforge.accesstransformer.generated.AtParser$Line_valueContext
net.neoforged.accesstransformer.generated.AtParser$Return_valueContext net.minecraftforge.accesstransformer.generated.AtParser$Return_valueContext
net.neoforged.accesstransformer.generated.AtParser$Wildcard_fieldContext net.minecraftforge.accesstransformer.generated.AtParser$Wildcard_fieldContext
net.neoforged.accesstransformer.generated.AtParser$Wildcard_methodContext net.minecraftforge.accesstransformer.generated.AtParser$Wildcard_methodContext
net.neoforged.accesstransformer.generated.AtParser net.minecraftforge.accesstransformer.generated.AtParser
net.neoforged.accesstransformer.generated.AtParserBaseListener net.minecraftforge.accesstransformer.generated.AtParserBaseListener
net.neoforged.accesstransformer.generated.AtParserBaseVisitor net.minecraftforge.accesstransformer.generated.AtParserBaseVisitor
net.neoforged.accesstransformer.generated.AtParserListener net.minecraftforge.accesstransformer.generated.AtParserListener
net.neoforged.accesstransformer.generated.AtParserVisitor net.minecraftforge.accesstransformer.generated.AtParserVisitor
net.neoforged.accesstransformer.parser.AccessTransformVisitor net.minecraftforge.accesstransformer.parser.AccessTransformVisitor
net.neoforged.accesstransformer.parser.AccessTransformerList net.minecraftforge.accesstransformer.parser.AccessTransformerList
net.neoforged.accesstransformer.parser.AtParserErrorListener net.minecraftforge.accesstransformer.parser.AtParserErrorListener
net.neoforged.accesstransformer.parser.ModifierProcessor net.minecraftforge.accesstransformer.parser.ModifierProcessor
net.neoforged.coremod.CoreMod$1 net.minecraftforge.coremod.CoreMod$1
net.neoforged.coremod.CoreMod net.minecraftforge.coremod.CoreMod
net.neoforged.coremod.CoreModEngine net.minecraftforge.coremod.CoreModEngine
net.neoforged.coremod.CoreModProvider net.minecraftforge.coremod.CoreModProvider
net.neoforged.coremod.CoreModTracker net.minecraftforge.coremod.CoreModTracker
net.neoforged.coremod.NashornFactory net.minecraftforge.coremod.NashornFactory
net.neoforged.coremod.api.ASMAPI$InsertMode net.minecraftforge.coremod.api.ASMAPI$InsertMode
net.neoforged.coremod.api.ASMAPI$MethodType net.minecraftforge.coremod.api.ASMAPI$MethodType
net.neoforged.coremod.api.ASMAPI net.minecraftforge.coremod.api.ASMAPI
net.neoforged.coremod.transformer.CoreModBaseTransformer net.minecraftforge.coremod.transformer.CoreModBaseTransformer
net.neoforged.coremod.transformer.CoreModClassTransformer net.minecraftforge.coremod.transformer.CoreModClassTransformer
net.neoforged.coremod.transformer.CoreModFieldTransformer net.minecraftforge.coremod.transformer.CoreModFieldTransformer
net.neoforged.coremod.transformer.CoreModMethodTransformer net.minecraftforge.coremod.transformer.CoreModMethodTransformer
net.neoforged.bus.ASMEventHandler net.minecraftforge.eventbus.ASMEventHandler
net.neoforged.bus.BusBuilderImpl net.minecraftforge.eventbus.BusBuilderImpl
net.neoforged.bus.ClassLoaderFactory$ASMClassLoader net.minecraftforge.eventbus.ClassLoaderFactory$ASMClassLoader
net.neoforged.bus.ClassLoaderFactory net.minecraftforge.eventbus.ClassLoaderFactory
net.neoforged.bus.EventAccessTransformer net.minecraftforge.eventbus.EventAccessTransformer
net.neoforged.bus.EventBus net.minecraftforge.eventbus.EventBus
net.neoforged.bus.EventBusEngine net.minecraftforge.eventbus.EventBusEngine
net.neoforged.bus.EventBusErrorMessage net.minecraftforge.eventbus.EventBusErrorMessage
net.neoforged.bus.EventSubclassTransformer net.minecraftforge.eventbus.EventSubclassTransformer
net.neoforged.bus.IEventBusEngine net.minecraftforge.eventbus.IEventBusEngine
net.neoforged.bus.IEventListenerFactory net.minecraftforge.eventbus.IEventListenerFactory
net.neoforged.bus.ListenerList$ListenerListInst net.minecraftforge.eventbus.ListenerList$ListenerListInst
net.neoforged.bus.ListenerList net.minecraftforge.eventbus.ListenerList
net.neoforged.bus.LockHelper net.minecraftforge.eventbus.LockHelper
net.neoforged.bus.LogMarkers net.minecraftforge.eventbus.LogMarkers
net.neoforged.bus.ModLauncherFactory net.minecraftforge.eventbus.ModLauncherFactory
net.neoforged.bus.NamedEventListener net.minecraftforge.eventbus.NamedEventListener
net.neoforged.bus.Names$Method net.minecraftforge.eventbus.Names$Method
net.neoforged.bus.Names net.minecraftforge.eventbus.Names
net.neoforged.bus.api.BusBuilder net.minecraftforge.eventbus.api.BusBuilder
net.neoforged.bus.api.Cancelable net.minecraftforge.eventbus.api.Cancelable
net.neoforged.bus.api.Event$HasResult net.minecraftforge.eventbus.api.Event$HasResult
net.neoforged.bus.api.Event$Result net.minecraftforge.eventbus.api.Event$Result
net.neoforged.bus.api.Event net.minecraftforge.eventbus.api.Event
net.neoforged.bus.api.EventListenerHelper net.minecraftforge.eventbus.api.EventListenerHelper
net.neoforged.bus.api.EventPriority net.minecraftforge.eventbus.api.EventPriority
net.neoforged.bus.api.GenericEvent net.minecraftforge.eventbus.api.GenericEvent
net.neoforged.bus.api.IEventBus net.minecraftforge.eventbus.api.IEventBus
net.neoforged.bus.api.IEventBusInvokeDispatcher net.minecraftforge.eventbus.api.IEventBusInvokeDispatcher
net.neoforged.bus.api.IEventExceptionHandler net.minecraftforge.eventbus.api.IEventExceptionHandler
